"cnes","ano","te_sfa"
2080354,2021,0.376800098726225
2080400,2021,0.78383175945382
2080427,2021,0.935590880747532
2080478,2021,0.780379318750139
2080532,2021,0.539404597285304
2080575,2021,0.20422534694127
2080583,2021,0.798137682353501
2080664,2021,0.886992457973764
2080680,2021,0.999433096534
2080923,2021,0.74928769611044
2080931,2021,0.830615104704427
2080958,2021,0.813488355652624
2081059,2021,0.909489289695342
2081083,2021,0.999429441423284
2081091,2021,0.855895049932277
2081105,2021,0.699602483231888
2081164,2021,0.250408275159348
2081253,2021,0.695803456437377
2081261,2021,0.853390084811898
2081350,2021,0.839635040106032
2081377,2021,0.81093683271266
2081458,2021,0.90084036186372
2081466,2021,0.500539229479426
2081482,2021,0.782238307004151
2081490,2021,0.918459854276649
2081512,2021,0.704257720971696
2081555,2021,0.876336193863657
2081695,2021,0.999434125139632
2081725,2021,0.637342048545691
2081814,2021,0.753619705172331
2081873,2021,0.627566134364946
2081970,2021,0.947423584842484
2082098,2021,0.836427707333683
2082128,2021,0.858660795312022
2082179,2021,0.354112215094569
2082187,2021,0.953182221584249
2082225,2021,0.896076151671793
2082276,2021,0.914789775145327
2082322,2021,0.680982330972194
2082349,2021,0.946368307351211
2082381,2021,0.932664364744737
2082454,2021,0.596637224958446
2082470,2021,0.518961536828241
2082519,2021,0.582998013682964
2082527,2021,0.817016413461426
2082586,2021,0.604743001682338
2082594,2021,0.838543763087182
2082632,2021,0.826448054413326
2082640,2021,0.813331648632417
2082659,2021,0.806419324193432
2082667,2021,0.86970958694492
2082675,2021,0.333364471489874
2082691,2021,0.661707361636862
2082721,2021,0.84509463332604
2082748,2021,0.732364470866424
2082810,2021,0.87353322767329
2082829,2021,0.93958325402035
2082845,2021,0.603993687101848
2082853,2021,0.703930649840911
2082861,2021,0.931689529616822
2082888,2021,0.794887754934858
2082926,2021,0.857002317382541
2083019,2021,0.999430167950676
2083027,2021,0.790484805679438
2083051,2021,0.733776593555408
2083086,2021,0.798748512230092
2083094,2021,0.620977261897397
2083116,2021,0.595492381825718
2083140,2021,0.718466246371001
2083175,2021,0.743818808290038
2083604,2021,0.744826315292974
2083876,2021,0.897514693106822
2083981,2021,0.99943364111397
2084058,2021,0.698748912637927
2084163,2021,0.999432725817437
2084171,2021,0.858885487802636
2084228,2021,0.755289261393537
2084236,2021,0.225596921257997
2084414,2021,0.890171474713719
2084422,2021,0.637339655669838
2084473,2021,0.774700834594201
2085194,2021,0.747209029926882
2087057,2021,0.866521148089321
2087103,2021,0.381346773604838
2087111,2021,0.839774083137907
2087219,2021,0.884715572553411
2087618,2021,0.884728637476953
2087715,2021,0.946676005236999
2087804,2021,0.999433791308303
2088193,2021,0.790713499204368
2088487,2021,0.491057656665559
2088495,2021,0.720793578174071
2088517,2021,0.735087131580759
2088525,2021,0.729985844232574
2088576,2021,0.999430341469423
2089327,2021,0.84698462945073
2089335,2021,0.4474152866674
2089572,2021,0.585840033163846
2089696,2021,0.583943867361886
2089785,2021,0.704672707066468
2090236,2021,0.912173492248273
2090961,2021,0.643700549444445
2091267,2021,0.810319272717048
2091313,2021,0.690306148842923
2091399,2021,0.941637542097218
2091585,2021,0.999434814148076
2091755,2021,0.488227211192234
2092298,2021,0.936150459035552
2092611,2021,0.871850798718527
2093324,2021,0.722783752943144
