"cnes","ano","categoria","te_bcc_leitos"
2023016,2016,"Filantrópico",0.289252658746051
2023474,2016,"Público Municipal",0.370627411707857
2023709,2016,"Filantrópico",0.372129494927798
2024691,2016,"Filantrópico",0.241794844885723
2024756,2016,"Filantrópico",0.389410137461862
2025361,2016,"Público Municipal",0.573663105431399
2025477,2016,"Filantrópico",0.309776642315981
2025507,2016,"Filantrópico",0.441846432253517
2025752,2016,"Filantrópico",0.370270175928512
2026805,2016,"Filantrópico",0.184090448565446
2027186,2016,"Filantrópico",0.541870107149625
2027356,2016,"Público Municipal",0.572338018828724
2028204,2016,"Filantrópico",0.226276233439723
2028239,2016,"Filantrópico",0.365516776714729
2028840,2016,"Direta",0.222647901041533
2040069,2016,"Filantrópico",0.758994487704244
2058308,2016,"Público Municipal",0.297411175220164
2058790,2016,"Público Municipal",0.453561769558977
2065665,2016,"Direta",0.492195606721561
2066092,2016,"OSS",0.974848779002971
2066572,2016,"Direta",0.260047044215167
2069776,2016,"Público Municipal",0.487780907961712
2071371,2016,"Direta",0.369871620140955
2071568,2016,"Filantrópico",0.736224289112754
2075717,2016,"Público Municipal",0.479961820155464
2075962,2016,"Filantrópico",0.629966732271308
2076896,2016,"Filantrópico",0.635809532816342
2076926,2016,"Direta",0.68823573598854
2076985,2016,"Filantrópico",0.0852308882428538
2077388,2016,"Filantrópico",0.607680350279154
2077396,2016,"Filantrópico",1
2077426,2016,"OSS",0.926184011606674
2077434,2016,"OSS",0.589952580517057
2077450,2016,"Público Municipal",0.577683383725516
2077477,2016,"Filantrópico",0.751308699421648
2077485,2016,"Filantrópico",0.572162361472438
2077493,2016,"Direta",0.353501580423191
2077507,2016,"Privado",0.0404325732428343
2077523,2016,"Direta",0.56260485354854
2077531,2016,"Filantrópico",0.271034411365564
2077574,2016,"OSS",0.821726800681859
2077582,2016,"Filantrópico",0.308035714285714
2077590,2016,"Filantrópico",0.362259877334233
2077620,2016,"OSS",0.677130005829078
2077639,2016,"Público Municipal",0.582819593263301
2077647,2016,"Filantrópico",0.255078050865945
2077655,2016,"Filantrópico",0.10548096316367
2077671,2016,"OSS",0.789235554717692
2077701,2016,"Direta",0.545436069248819
2078015,2016,"Filantrópico",1
2078074,2016,"Filantrópico",0.266631681892994
2078104,2016,"OSS",0.823949464432848
2078139,2016,"Filantrópico",0.319743745900871
2078155,2016,"Filantrópico",0.304089571468729
2078252,2016,"Filantrópico",0.456441535257364
2078287,2016,"Direta",0.526954075561139
2078295,2016,"Filantrópico",0.333683767872161
2078325,2016,"Público Municipal",0.883746920736125
2078414,2016,"Filantrópico",0.26966473243069
2078465,2016,"Filantrópico",0.0575664626275619
2078473,2016,"Público Municipal",0.163336349025039
2078503,2016,"Filantrópico",0.383444607898608
2078511,2016,"Filantrópico",0.197895656373398
2078562,2016,"OSS",0.688722627420474
2078775,2016,"Filantrópico",0.4964494144831
2078848,2016,"Filantrópico",0.359449726848264
2079097,2016,"Filantrópico",0.374271627073061
2079135,2016,"Filantrópico",0.383463431189547
2079186,2016,"Público Municipal",0.724836997828141
2079194,2016,"Direta",0.0985191945360339
2079208,2016,"Filantrópico",0.0757425532216258
2079232,2016,"Filantrópico",0.328055664563649
2079240,2016,"Direta",0.510622277713708
2079321,2016,"Filantrópico",0.304731404853924
2079356,2016,"Filantrópico",0.161435154262385
2079364,2016,"Filantrópico",0.12134975912869
