etapa,cnes,nome_referencia,motivo,anos_removidos
ETAPA B,2080524,Hospital E Maternidade Regional Regente Feijo,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2080605,Hospital Padre Nicanor Merino Torrinha,mediana de leitos = 20.0 (corte: > 50),11
ETAPA B,2080621,Santa Casa Pompeia,mediana de leitos = 26.0 (corte: > 50),11
ETAPA B,2080737,Hospital Sao Vicente De Galia,mediana de leitos = 45.0 (corte: > 50),11
ETAPA B,2080745,Santa Casa De Santa Cruz Das Palmeiras,mediana de leitos = 35.0 (corte: > 50),11
ETAPA B,2080788,Hosp Mun V Nhocune Alexandre Zaio,mediana de leitos = 48.0 (corte: > 50),11
ETAPA B,2080826,Hospital Sao Jose De Itajobi,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2080842,Santa Casa De Misericordia De Candido Mota,mediana de leitos = 30.0 (corte: > 50),11
ETAPA B,2080869,Santa Casa De Paulo De Faria,mediana de leitos = 24.0 (corte: > 50),11
ETAPA B,2080907,Santa Casa Pacaembu,mediana de leitos = 37.0 (corte: > 50),7
ETAPA B,2080915,Hospital Padre Bernardo Braakius,mediana de leitos = 36.0 (corte: > 50),11
ETAPA B,2080966,Santa Casa De Estrela Doeste,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2080982,Hospital De Clementina,mediana de leitos = 24.0 (corte: > 50),11
ETAPA B,2081202,Hospital E Maternidade Sao Lucas,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2081229,Santa Casa De Parapua,mediana de leitos = 32.0 (corte: > 50),10
ETAPA B,2081237,Hospital Sao Paulo De Rinopolis,mediana de leitos = 23.0 (corte: > 50),11
ETAPA B,2081245,Santa Casa De Sud Mennucci,mediana de leitos = 22.0 (corte: > 50),11
ETAPA B,2081296,Hospital Joao Depieri De Cajobi,mediana de leitos = 32.0 (corte: > 50),11
ETAPA B,2081342,Hospital Sao Lourenco,mediana de leitos = 34.0 (corte: > 50),11
ETAPA B,2081385,Santa Casa De Tupi Paulista,mediana de leitos = 48.0 (corte: > 50),11
ETAPA B,2081393,Hospital Santa Rosa De Lima De Serra Negra,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,2081407,Unidade Mista De Saude De Jarinu Monsenhor Jacob Conti,mediana de leitos = 17.0 (corte: > 50),11
ETAPA B,2081431,Santa Casa De Lucelia,mediana de leitos = 32.0 (corte: > 50),11
ETAPA B,2081520,Hospital E Maternidade De Guaracai,mediana de leitos = 23.0 (corte: > 50),11
ETAPA B,2081571,Santa Casa De Riolandia,mediana de leitos = 36.0 (corte: > 50),11
ETAPA B,2081598,Santa Casa De Misericordia Sao Lucas,mediana de leitos = 16.0 (corte: > 50),11
ETAPA B,2081652,Santa Casa De General Salgado,mediana de leitos = 28.0 (corte: > 50),11
ETAPA B,2081660,Santa Casa De Ipaucu,mediana de leitos = 49.0 (corte: > 50),11
ETAPA B,2081717,Santa Casa Descalvado,mediana de leitos = 40.0 (corte: > 50),11
ETAPA B,2081768,Santa Casa De Auriflama,mediana de leitos = 44.0 (corte: > 50),11
ETAPA B,2081784,Hospital Santa Therezinha Brotas,mediana de leitos = 41.0 (corte: > 50),11
ETAPA B,2081792,Santa Casa De Macaubal,mediana de leitos = 19.0 (corte: > 50),11
ETAPA B,2081806,Hospital Padre Joao W Braem,mediana de leitos = 22.0 (corte: > 50),11
ETAPA B,2081857,,mediana de leitos = 13.0 (corte: > 50),1
ETAPA B,2081903,Hospital De Caridade De Vargem Grande Do Sul,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2081989,Hospital Sao Sebastiao De Borborema,mediana de leitos = 26.0 (corte: > 50),11
ETAPA B,2082071,Santa Casa De Cardoso,mediana de leitos = 31.0 (corte: > 50),11
ETAPA B,2082160,,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,2082195,Beneficencia Portuguesa De Amparo,mediana de leitos = 42.0 (corte: > 50),10
ETAPA B,2082284,Santa Casa De Grama,mediana de leitos = 30.0 (corte: > 50),11
ETAPA B,2082306,Santa Casa De Casa Branca,mediana de leitos = 47.0 (corte: > 50),11
ETAPA B,2082411,Pronto Atendimento Dr Guido Guida,mediana de leitos = 35.0 (corte: > 50),7
ETAPA B,2082438,Santa Casa De Chavantes,mediana de leitos = 50.0 (corte: > 50),11
ETAPA B,2082497,Santa Casa Hospital Jesus Maria Jose,mediana de leitos = 27.0 (corte: > 50),11
ETAPA B,2082551,Santa Casa De Ibira,mediana de leitos = 27.0 (corte: > 50),11
ETAPA B,2082578,,mediana de leitos = 19.0 (corte: > 50),2
ETAPA B,2082756,Santa Casa De Salto Grande,mediana de leitos = 34.0 (corte: > 50),11
ETAPA B,2082780,Beneficencia Hospitalar De Cesario Lange,mediana de leitos = 27.0 (corte: > 50),11
ETAPA B,2082934,Santa Casa De Misericordia De Taguai,mediana de leitos = 29.0 (corte: > 50),11
ETAPA B,2082942,Santa Casa De Macatuba,mediana de leitos = 31.0 (corte: > 50),11
ETAPA B,2083167,,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,2083213,Hospital Terra Roxa,mediana de leitos = 34.0 (corte: > 50),11
ETAPA B,2083264,Hospital Municipal Joaquim Raimundo Gomes Guapiara,mediana de leitos = 19.5 (corte: > 50),10
ETAPA B,2083272,Hospital Municipal De Bertioga,mediana de leitos = 49.0 (corte: > 50),11
