cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid,mort_all,mort_sem_excl,tmp,custo_saida,pct_alta_complex,pct_covid_qtde,pct_covid_valor,faixa_complex_barcelona,pont_barcelona
2077558,2015,,Filantrópico,HPP,42,30,42,30,0,0,4207,0,38.42009132420091,0.0,350050,Aguas De Lindoia,05 HOSPITAL GERAL,N/A,1,1669.0,81.0,81.0,4207.0,639355.3599999998,0.0,0.0,0.0,0.0,762,0,0.048532055122828044,0.048532055122828044,2.5206710605152787,383.07690832834015,0.0,,,2.0,34.0
2077566,2015,,Público Municipal,HPP,36,36,36,36,0,0,3795,0,28.881278538812786,0.0,350280,Aracatuba,36 CLINICA/CENTRO DE ESPECIALIDADE,-,1,1867.0,0.0,0.0,3795.0,777177.0099999995,0.0,0.0,0.0,0.0,152,0,0.0,0.0,2.032672737011248,416.2704927691481,0.0,,,,
2077574,2015,,OSS,Grande Porte,487,457,447,417,40,40,131722,10681,86.54249203377024,73.15753424657534,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,20421.0,1243.0,1243.0,131722.0,24971418.790000163,743.0,0.0,0.0,0.0,6397,0,0.06086871357915871,0.06086871357915871,6.450320748249351,1222.830360413308,0.036384114392047404,,,5.0,711.0
2077582,2015,,Filantrópico,Médio Porte,71,39,66,39,5,0,7645,0,53.70565507551809,0.0,352680,Lencois Paulista,05 HOSPITAL GERAL,N/A,1,2577.0,98.0,98.0,7645.0,1345071.2000000032,1.0,0.0,0.0,0.0,1000,0,0.03802871556072953,0.03802871556072953,2.96662786185487,521.9523476911149,0.00038804811796662784,,,3.0,123.0
2077590,2015,,Filantrópico,Grande Porte,170,104,160,94,10,10,25237,1577,73.55581463130282,43.205479452054796,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,004 ONCOLOGIA,1,5798.0,398.0,398.0,25237.0,8757262.890000004,2045.0,0.0,0.0,0.0,1110,0,0.06864436012418075,0.06864436012418075,4.352707830286306,1510.3937374956888,0.35270783028630565,,,3.0,176.0
2077612,2015,,Filantrópico,Grande Porte,190,140,190,140,0,0,29516,0,57.76125244618395,0.0,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,-,1,1475.0,0.0,0.0,29516.0,1462854.67,0.0,0.0,0.0,0.0,30,0,0.0,0.0,20.01084745762712,991.7658779661017,0.0,,,,
2077620,2015,,OSS,Grande Porte,311,295,285,269,26,26,93531,6701,95.25996842694913,70.61116965226554,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,15133.0,878.0,878.0,93531.0,11454102.390000008,0.0,0.0,0.0,0.0,3450,0,0.05801889909469372,0.05801889909469372,6.180598691601136,756.8956842661738,0.0,,,4.0,529.0
2077639,2015,,Público Municipal,Grande Porte,183,183,171,171,12,12,57015,3750,91.34823359769287,85.61643835616438,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,8965.0,525.0,525.0,57015.0,8241734.410000031,25.0,0.0,0.0,0.0,2319,0,0.05856107083100948,0.05856107083100948,6.35973229224763,919.3234143892952,0.002788622420524261,,,3.0,248.0
2077647,2015,,Filantrópico,Médio Porte,140,100,135,96,5,4,13207,1116,37.6912100456621,76.43835616438356,350010,Adamantina,05 HOSPITAL GERAL,N/A,1,3365.0,252.0,252.0,13207.0,2232099.040000005,3.0,0.0,0.0,0.0,1535,0,0.07488855869242199,0.07488855869242199,3.92481426448737,663.328095096584,0.0008915304606240713,,,3.0,164.0
2077655,2015,,Filantrópico,Médio Porte,104,27,94,23,10,4,4085,260,48.65991661703395,17.80821917808219,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,N/A,1,1219.0,0.0,0.0,4085.0,1297844.4599999993,156.0,0.0,0.0,0.0,427,0,0.0,0.0,3.3511074651353567,1064.6796226415088,0.1279737489745693,,,3.0,132.0
2077671,2015,,OSS,Grande Porte,246,240,216,216,30,24,81387,4934,103.23059360730593,56.32420091324201,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,15841.0,901.0,901.0,81387.0,15456789.62999997,23.0,0.0,0.0,0.0,3675,0,0.05687772236601225,0.05687772236601225,5.137743829303705,975.7458260210826,0.0014519285398649075,,,4.0,457.0
2077701,2015,,Direta,Grande Porte,161,131,147,117,14,14,38664,4883,90.53740779768177,95.55772994129158,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,8842.0,57.0,56.0,38664.0,7846635.59000001,0.0,0.0,0.0,0.0,611,0,0.00644650531553947,0.006333408731056322,4.372766342456458,887.4276849129168,0.0,,,4.0,264.0
2077752,2015,,Filantrópico,HPP,50,50,50,50,0,0,9249,0,50.679452054794524,0.0,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,5907.0,0.0,0.0,9249.0,2720162.2000000016,0.0,0.0,0.0,0.0,739,0,0.0,0.0,1.5657694261046216,460.4980870154057,0.0,,,2.0,81.0
2077957,2015,,Direta,HPP,50,50,50,50,0,0,6523,0,35.74246575342466,0.0,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,N/A,1,858.0,13.0,13.0,6523.0,207799.0900000003,718.0,0.0,0.0,0.0,128,0,0.015151515151515152,0.015151515151515152,7.602564102564102,242.1900815850819,0.8368298368298368,,,2.0,46.0
2078015,2015,,Filantrópico,Especial,1551,1502,1326,1279,225,223,379949,56208,81.38828494007518,69.05583881073775,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,49925.0,2148.0,2148.0,379949.0,150840854.95999974,9249.0,0.0,0.0,0.0,15771,0,0.04302453680520781,0.04302453680520781,7.610395593390085,3021.3491228843213,0.18525788683024536,,,6.0,2336.0
2078023,2015,,DESATIVADO,Médio Porte,81,56,81,56,0,0,6302,0,30.831702544031312,0.0,351670,Garça,05 HOSPITAL GERAL,N/A,1,2060.0,119.0,119.0,6302.0,782737.6500000011,0.0,0.0,0.0,0.0,798,0,0.05776699029126214,0.05776699029126214,3.059223300970874,379.9697330097093,0.0,,,,
2078031,2015,,Direta,Grande Porte,280,280,280,280,0,0,55425,0,54.231898238747554,0.0,354340,Ribeirao Preto,07 HOSPITAL ESPECIALIZADO,-,1,2052.0,3.0,3.0,55425.0,2126260.8999999994,0.0,0.0,0.0,0.0,124,0,0.0014619883040935672,0.0014619883040935672,27.010233918128655,1036.1895224171537,0.0,,,,
2078074,2015,,Filantrópico,Médio Porte,114,82,104,76,10,6,16943,2015,61.07786589762076,92.00913242009132,352670,Leme,05 HOSPITAL GERAL,N/A,1,3986.0,260.0,260.0,16943.0,3183690.080000006,3.0,0.0,0.0,0.0,1668,0,0.06522829904666332,0.06522829904666332,4.250627195183141,798.7180331159072,0.0007526342197691922,,,3.0,192.0
2078104,2015,,OSS,Grande Porte,257,250,227,220,30,30,66705,7054,83.06973848069738,64.42009132420091,352250,Itapevi,05 HOSPITAL GERAL,N/A,1,15494.0,377.0,375.0,66705.0,11248740.009999977,3.0,0.0,0.0,0.0,2730,0,0.0243319994836711,0.024202917258293533,4.305214921905254,726.0061965922278,0.00019362333806634827,,,4.0,387.0
