cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid
2071568,2015,,Filantrópico,Especial,508,452,363,307,145,145,112467,42179,100.36767658739012,79.69579593764762,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,N/A,1,12576.0,731.0,731.0,112467.0,90288913.63000017,6795.0,0.0,0.0,0.0,4181,0
2072033,2015,,Público Municipal,HPP,16,16,16,16,0,0,2338,0,40.034246575342465,0.0,351510,Embu-Guacu,15 UNIDADE MISTA,-,1,488.0,42.0,42.0,2338.0,198064.21000000017,0.0,0.0,0.0,0.0,307,0
2072513,2015,,Público Municipal,HPP,35,35,35,35,0,0,5008,0,39.20156555772994,0.0,354730,Santana De Parnaiba,05 HOSPITAL GERAL,N/A,1,1189.0,49.0,49.0,5008.0,342252.0900000002,0.0,0.0,0.0,0.0,569,0
2075717,2015,,Público Municipal,Médio Porte,89,81,80,72,9,9,18760,2806,71.38508371385083,85.4185692541857,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,4077.0,56.0,56.0,18760.0,4213454.850000003,0.0,0.0,0.0,0.0,674,0
2075962,2015,,Filantrópico,Grande Porte,194,129,169,105,25,24,32794,5342,85.56816699282453,60.981735159817354,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,11738.0,303.0,302.0,32794.0,11048435.659999954,109.0,0.0,0.0,0.0,2483,0
2076896,2015,,Filantrópico,Grande Porte,171,148,156,148,15,0,40854,0,75.62754535357276,0.0,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,9791.0,240.0,240.0,40854.0,4523459.6800000165,1.0,0.0,0.0,0.0,2619,0
2076926,2015,,Direta,Grande Porte,246,246,218,218,28,28,58057,5829,72.96342842779943,57.03522504892368,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,13075.0,259.0,259.0,58057.0,10255307.60999997,110.0,0.0,0.0,0.0,3562,0
2076942,2015,,Filantrópico,HPP,14,7,14,7,0,0,690,0,27.00587084148728,0.0,352350,Itatinga,05 HOSPITAL GERAL,N/A,1,143.0,9.0,9.0,690.0,52922.39999999994,0.0,0.0,0.0,0.0,107,0
2076985,2015,,Filantrópico,Médio Porte,89,89,89,89,0,0,27656,0,85.1346775434816,0.0,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,936.0,3.0,3.0,27656.0,1952648.9399999976,0.0,0.0,0.0,0.0,29,0
2077078,2015,,Público Municipal,HPP,48,48,48,48,0,0,10134,0,57.842465753424655,0.0,351500,Embu Das Artes,05 HOSPITAL GERAL,N/A,1,2941.0,84.0,84.0,10134.0,1368963.5400000005,0.0,0.0,0.0,0.0,714,0
