cod_ibge7,cod_ibge6,lon,lat
3536257,353625,-50.0349,-20.2767
3536307,353630,-47.25706,-20.69663
3536406,353640,-51.8017,-21.20813
3536505,353650,-47.14016,-22.74181
3536570,353657,-49.31139,-22.56472
3536604,353660,-49.44304,-20.06741
3536703,353670,-48.85977,-22.29684
3536802,353680,-46.43412,-22.77939
3536901,353690,-50.10954,-20.20325
3537008,353700,-47.44775,-20.19335
3537107,353710,-46.89906,-22.75449
3537156,353715,-50.80463,-22.80794
3537206,353720,-47.17247,-24.18016
3537305,353730,-50.11248,-21.41425
3537404,353740,-51.10009,-20.68254
3537503,353750,-47.99406,-23.12011
3537602,353760,-47.01009,-24.27816
3537701,353770,-50.64578,-21.57781
3537800,353780,-47.4597,-23.79584
3537909,353790,-47.73771,-23.8551
3538006,353800,-45.44721,-22.89752
3538105,353810,-48.91422,-21.20236
3538204,353820,-46.5785,-22.78458
3538303,353830,-51.74103,-21.84594
3538501,353850,-45.16602,-22.59349
3538600,353860,-46.28719,-23.05157
3538709,353870,-47.79151,-22.726
3538808,353880,-49.38989,-23.2061
3538907,353890,-49.37542,-21.9138
3539004,353900,-48.66928,-21.08072
3539103,353910,-46.9786,-23.37712
3539202,353920,-51.60427,-22.45297
3539301,353930,-47.39871,-22.00509
3539400,353940,-49.19208,-22.40961
3539509,353950,-48.25617,-21.01845
3539608,353960,-49.94251,-20.99455
3539707,353970,-50.21801,-22.62291
3539806,353980,-46.34405,-23.52428
3539905,353990,-49.84482,-20.75065
3540002,354000,-50.19749,-22.04277
3540101,354010,-49.35852,-21.7233
3540200,354020,-48.05431,-20.96368
3540259,354025,-50.516,-20.44569
3540309,354030,-49.76199,-20.17472
3540408,354040,-50.51193,-19.89023
3540507,354050,-48.12046,-23.18266
3540606,354060,-47.51048,-23.23211
3540705,354070,-47.44314,-21.84039
3540754,354075,-45.29272,-22.8345
3540804,354080,-49.39797,-21.09215
3540853,354085,-51.07031,-21.83993
3540903,354090,-48.08985,-21.33675
3541000,354100,-46.50002,-24.00529
3541059,354105,-48.70348,-22.82256
3541109,354110,-49.41444,-22.11541
3541208,354120,-51.62995,-22.11095
3541307,354130,-52.15627,-21.86148
3541406,354140,-51.34889,-21.9992
3541505,354150,-51.84164,-21.77749
3541604,354160,-49.86528,-21.50362
3541653,354165,-48.03735,-23.30255
3541703,354170,-50.66932,-22.22654
3541802,354180,-50.24072,-21.80309
3541901,354190,-44.79292,-22.51197
3542008,354200,-50.34908,-22.07351
